scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF1_P,,6,100,100,8,1.3333333333333333,8,24,1.3333333333333333,4.0,29.666666666666668,712,1,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF1_S,,6,100,100,17,2.8333333333333335,17,41,2.8333333333333335,6.833333333333333,27.390243902439025,1123,1,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF2,,6,100,75,7,1.1666666666666667,7,24,1.1666666666666667,4.0,29.666666666666668,712,2,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,VF_a,,4,67,50,4,0.6666666666666666,4,7,0.6666666666666666,1.1666666666666667,260.2857142857143,1822,1,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,VF_b,,4,67,100,4,0.6666666666666666,4,7,0.6666666666666666,1.1666666666666667,260.2857142857143,1822,1,0,1825
base,412038,Merrowie Creek,OB1_P,,2,33,75,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,56.0,112,2,0,1825
base,412038,Merrowie Creek,OB1_S,,2,33,75,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,79.0,158,2,0,1825
base,412038,Merrowie Creek,OB2,,1,17,55,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,67.5,135,3,0,1825
base,412038,Merrowie Creek,OB3_P,,1,17,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,55.0,110,4,0,1825
base,412038,Merrowie Creek,OB3_S,,1,17,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,55.0,110,4,0,1825
base,412038,Merrowie Creek,OB4_P,,1,17,25,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,77.0,77,5,0,1825
base,412038,Merrowie Creek,OB4_S,,1,17,25,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,77.0,77,5,0,1825
base,412038,Merrowie Creek,OB5,,1,17,10,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,61.0,61,10,0,1825
base,421001,Burrendong Dam to Baroona,BF1_a,,0,0,50,0,0.0,0,33,0.0,5.5,45.0,1485,0.128767,0,1825
base,421001,Burrendong Dam to Baroona,BF1_b,,4,67,100,4,0.6666666666666666,4,33,0.6666666666666666,5.5,45.0,1485,0.128767,0,1825
base,421001,Burrendong Dam to Baroona,BF2_a,,1,17,50,1,0.16666666666666666,1,18,0.16666666666666666,3.0,51.888888888888886,934,2,0,1825
base,421001,Burrendong Dam to Baroona,BF2_b,,2,33,75,2,0.3333333333333333,2,18,0.3333333333333333,3.0,51.888888888888886,934,2,0,1825
