scenarioPath,scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF1_S,,2,33,100,2,0.3333333333333333,2,9,0.3333333333333333,1.5,23.11111111111111,208,1,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF2,,1,17,75,1,0.16666666666666666,1,6,0.16666666666666666,1.0,17.333333333333332,104,2,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,VF_a,,1,17,50,1,0.16666666666666666,1,38,0.16666666666666666,6.333333333333333,42.89473684210526,1630,1,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,VF_b,,4,67,100,4,0.6666666666666666,4,38,0.6666666666666666,6.333333333333333,42.89473684210526,1630,1,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB1_P,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,47.0,47,2,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB1_S,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,47.0,47,2,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB2,,1,17,55,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,9.0,9,3,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB3_P,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB3_S,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412038,Merrowie Creek,OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,BF1_a,,0,0,50,0,0.0,0,30,0.0,5.0,26.933333333333334,808,0.128767,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,BF1_b,,1,17,100,1,0.16666666666666666,1,30,0.16666666666666666,5.0,26.933333333333334,808,0.128767,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,BF2_a,,0,0,50,0,0.0,0,25,0.0,4.166666666666667,25.84,646,2,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,BF2_b,,0,0,75,0,0.0,0,25,0.0,4.166666666666667,25.84,646,2,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,26.0,26,0,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,LF1,,1,17,75,1,0.16666666666666666,1,3,0.16666666666666666,0.5,7.666666666666667,23,2,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,LF2,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,7.0,7,4,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,OB/WS3,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,SF1,,4,67,1000,9,1.5,9,22,1.5,3.6666666666666665,19.863636363636363,437,1,0,1825
hydrographs\down4\down4,down4,421001,Burrendong Dam to Baroona,SF2,,3,50,75,5,0.8333333333333334,5,19,0.8333333333333334,3.1666666666666665,17.42105263157895,331,2,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,,0,0,50,0,0.0,0,29,0.0,4.833333333333333,20.275862068965516,588,0.10137,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,,2,33,100,2,0.3333333333333333,2,29,0.3333333333333333,4.833333333333333,20.275862068965516,588,0.10137,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF2_a,,0,0,50,0,0.0,0,21,0.0,3.5,20.19047619047619,424,2,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF2_b,,1,17,75,1,0.16666666666666666,1,21,0.16666666666666666,3.5,20.19047619047619,424,2,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,109.0,109,0,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,LF1,,0,0,75,0,0.0,0,0,0.0,0.0,0.0,0,2,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,LF2,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,OB/WL,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,OB/WM,,0,0,50,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,OB/WS3,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,SF1,,4,67,1000,6,1.0,6,14,1.0,2.3333333333333335,22.0,308,1,0,1825
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,SF2,,1,17,75,1,0.16666666666666666,1,10,0.16666666666666666,1.6666666666666667,22.2,222,2,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,BF1_a,,1,17,50,1,0.16666666666666666,1,14,0.16666666666666666,2.3333333333333335,22.142857142857142,310,1.167123,0,1825
