scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2016,2017-03-02,2017-03-02,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2016,2017-03-04,2017-03-07,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2016,2017-03-10,2017-03-12,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2016,2017-03-14,2017-03-31,18,18,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2017,2017-09-01,2017-11-11,72,72,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2017,2017-11-18,2017-12-22,35,35,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2017,2017-12-24,2018-03-01,68,68,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2017,2018-03-08,2018-03-12,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2018,2018-09-01,2019-01-29,151,151,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2018,2019-02-02,2019-02-15,14,14,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2018,2019-02-21,2019-02-26,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2018,2019-03-01,2019-03-04,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2018,2019-03-07,2019-03-08,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_a,2018,2019-03-29,2019-03-30,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-01-02,2015-02-01,31,31,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-02-04,2015-02-04,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-02-07,2015-02-09,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-02-11,2015-02-12,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-02-15,2015-02-27,13,13,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-03-01,2015-03-06,6,6,
