,NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target.species,PU,link
97,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..23,1
98,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..24,1
99,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..25,1
100,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..26,1
101,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..27,1
102,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..28,1
103,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..29,1
104,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..30,1
105,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..31,1
106,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.and.Edward.Wakool.32,1
107,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.and.Edward.Wakool.33,1
108,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.and.Edward.Wakool.34,1
109,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.and.Edward.Wakool.35,1
110,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.and.Edward.Wakool.36,1
111,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Murray.Darling.37,1
1,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.1,1
113,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.2,1
114,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.3,1
78,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.4,1
116,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Edward.Wakool.5,1
117,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Edward.Wakool.6,1
118,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Edward.Wakool.7,1
119,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Murray.8,1
120,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Murray.9,1
121,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Murray.10,1
122,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Murray.11,1
123,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Murray.12,1
124,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Murray.13,1
125,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Menindee.Lakes.14,1
126,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Menindee.Lakes.15,1
127,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.16,1
128,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.17,1
129,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.18,1
130,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.19,1
131,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..20,0
132,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..21,1
133,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..22,0
134,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..23,1
135,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..24,1
136,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..25,1
137,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..26,1
138,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..27,1
139,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..28,1
140,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..29,1
141,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..30,1
142,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..31,1
143,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.and.Edward.Wakool.32,1
144,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.and.Edward.Wakool.33,1
145,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.and.Edward.Wakool.34,1
146,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.and.Edward.Wakool.35,1
147,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.and.Edward.Wakool.36,1
148,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Lower.Murray.Darling.37,1
1411,Environmental objective,WB1,WB,Waterbird,1,Maintain the number & type of waterbird species,All waterbird species,Mid.Murray.1,1
150,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Mid.Murray.2,1
151,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Mid.Murray.3,1
337,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,climbing galaxias,Mid.Murray.4,0
153,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Edward.Wakool.5,1
154,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Edward.Wakool.6,1
155,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Edward.Wakool.7,1
156,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Murray.8,1
157,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Murray.9,1
158,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Murray.10,1
